"Phần","Nhóm","Mục tiêu/Đầu việc","Trạng thái","Mức độ/Điểm","Giá trị/Kết luận","Bằng chứng/Ghi chú"
"Thông tin chung","Tháng báo cáo","Tháng 4/2026","Thông tin","-","Kỳ đánh giá dựa trên phần đã rà soát local + repo public","Đối chiếu từ báo cáo tháng 3, kế hoạch tháng 4 và các repo/artifact liên quan"
"Executive Summary","Kết luận ngắn","Đúng hướng, nhưng tháng 5 phải chuyển từ build system sang closure, rollout và KPI tối thiểu","Đánh giá","7.2/10","Điểm mạnh là systemization; điểm yếu là runtime proof, rollout breadth và KPI outcome","Chi tiết đã note trong file markdown đánh giá và kế hoạch tháng 5"
"Executive Summary","Trọng tâm tháng 4","Workflow, QC, capture, taxonomy, audit batching","Xác nhận","-","Đây là các trục có bằng chứng mạnh nhất","news-flow, writing-qc, integrate-capture-v2, new-category, screaming-frow"
"Kế hoạch tháng 4","News workflow và orchestration","Chuẩn hóa workflow, QC loop, publishing flow","Hoàn thành","85%","Đã có hệ workflow nhiều phase và artifact rõ hơn trước","news-flow; writing-qc; author-news; cmc-author-dashboard"
"Kế hoạch tháng 4","Technical SEO / taxonomy / audit","Category cleanup, remap, manual review, SEO audit theo site","Hoàn thành","85%","Đây là phần nổi bật nhất so với report gốc","new-category; screaming-frow; manual review Coinlineup/Tokentopnews/TheCCPress"
"Kế hoạch tháng 4","Capture ảnh unique","Nâng hệ capture và chụp chart phục vụ bài viết","Hoàn thành","80%","Capture đã vượt mức utility nhỏ, tiến thành article-evidence engine","integrate-capture-v2; cmc-chart-capture"
"Kế hoạch tháng 4","CoinMarketCap workflow","Tạo nhánh vận hành riêng cho coin-page","Hoàn thành","75%","Đã có dashboard, variant selection, WordPress scheduling, Google Sheets, Telegram notify","cmc-author-dashboard; author-news"
"Kế hoạch tháng 4","Rollout breadth","Mở rộng rollout thật trên nhiều site","Một phần","40%","Chưa có bằng chứng đủ chắc để xác nhận 14/14 site rollout","Chưa có runtime proof đủ rộng theo site"
"Kế hoạch tháng 4","Evergreen full chain","Keyword -> cluster -> article -> image -> publish","Một phần","35%","Chưa thấy chuỗi evergreen chạy thật và đóng vòng đầy đủ","Cần chốt Evergreen MVP trong tháng 5"
"Kế hoạch tháng 4","Season / location","Lập lịch chủ đề theo vùng hoặc mùa vụ","Chưa hoàn thành","20%","Chưa có bằng chứng implementation đủ chắc","Nên hạ scope và giữ ở mức spec + POC nhỏ"
"Kế hoạch tháng 4","KPI outcome","Semrush, indexation, traffic, giảm thao tác tay","Chưa hoàn thành","25%","Chưa có lớp dữ liệu đủ chắc để claim KPI kết quả","Cần lớp tracking tối thiểu trong tháng 5"
"Đánh giá","Đã làm được","Xây hệ workflow, QC, capture, taxonomy và audit có thể scale","Xác nhận","-","Đây là nền tốt để đi sang vận hành thật","Các repo/artifact đã nối được với nhau thành hệ"
"Đánh giá","Chưa làm được / chưa đủ bằng chứng","14/14 rollout, season/location, evergreen full chain, KPI SEO outcome","Chưa đạt","-","Các claim này chưa nên nâng trạng thái nếu không có evidence chắc","Tránh overclaim trong báo cáo quản lý"
"Đánh giá","Hướng đi","Đúng hướng","Đánh giá","-","Hướng đi đúng vì đang xây nền tảng có thể tái sử dụng và scale; cần tăng closure runtime","Ưu tiên tháng 5 là evidence và verification"
"Sáng kiến ngoài kế hoạch","Writing QC skill","Đóng gói writing-qc thành skill QA/SEO portable","Xác nhận","-","Chuẩn hóa review factual clarity, sourcing, originality, heading, internal-link relevance, readability","writing-qc"
"Sáng kiến ngoài kế hoạch","Bulk scheduling / publishing","Dựng BULK HULK từ Google Sheet","Xác nhận","-","Có workflow riêng và file kết quả local 216 dòng dry-run","bulk-hulk; bulk-hulk-sheet-post-results.json"
"Sáng kiến ngoài kế hoạch","Deep research coin","Duy trì nhánh deep-research-coin song song","Xác nhận","-","Có 38 file trong research-output gồm 32 md và 6 pdf, cộng thêm 8 file bài/report ở root repo","deep-research-coin"
"Kế hoạch tháng 5","Ưu tiên 1","Chuyển từ repo/spec/tooling sang runtime evidence","Kế hoạch","Mức ưu tiên A","Phải có job, artifact, publish result và trạng thái theo site","Đây là trọng tâm quan trọng nhất của tháng 5; chủ trì: Thana"
"Kế hoạch tháng 5","Ưu tiên 2","Chốt Evergreen MVP trên 1-2 site","Kế hoạch","Mức ưu tiên A","Không cần full chain hoàn hảo; cần output chạy thật","Keyword input -> grouping -> outline -> article -> publish thử nghiệm"
"Kế hoạch tháng 5","Ưu tiên 3","Đi hết chuỗi audit -> decision -> implementation -> verification cho 3 site ưu tiên","Kế hoạch","Mức ưu tiên A","Coinlineup, Tokentopnews, TheCCPress phải có vòng verify sau fix","Ưu tiên batch closure thay vì chỉ audit; chủ trì: Thana"
"Kế hoạch tháng 5","Ưu tiên 4","Mở rộng xử lý nhóm URL 'Đã thu thập dữ liệu – hiện chưa được lập chỉ mục' theo từng site","Kế hoạch","Mức ưu tiên A","Coinlineup, Tokentopnews, TheCCPress là 3 site đã xử lý trước; tháng 5 cần verify lại và rollout sang site còn lại với quyết định rõ: giữ, 301, 410, sửa inlinks","Đây là phần bắt buộc để dọn nền indexation trước khi scale evergreen; chủ trì: Thana"
"Kế hoạch tháng 5","Ưu tiên 5","Tuần 4 mỗi site mục tiêu có ít nhất 3 bài evergreen","Kế hoạch","Mức ưu tiên A","Evergreen phải thành output thật, không dừng ở spec","Gắn trực tiếp với closure nội dung và cluster growth; chủ trì: Thana"
"Kế hoạch tháng 5","Ưu tiên 6","Tuần 3 gom news cũ thành 1 bài evergreen cùng sector trên ít nhất 3 site","Kế hoạch","Mức ưu tiên A","Ưu tiên trong nhóm Tokentopnews, Trusts, Bitcoininfonews, TheCCPress","Đây là bước bridge giữa news archive và evergreen system"
"Kế hoạch tháng 5","Ưu tiên 7","Trước khi hết Sell in May, tối thiểu 6 site update UI/UX signature + trending","Kế hoạch","Mức ưu tiên A","Ready cho đợt push sale tháng 6","Không để tháng 6 mới chỉnh giao diện hoặc positioning; chủ trì: Thana"
"Kế hoạch tháng 5","Ưu tiên 8","Scale format bài review / research / why pump / why dump từ Coincu sang site khác với topic khác","Kế hoạch","Mức ưu tiên A","Tận dụng format đã chứng minh index tốt và chiếm vị trí mạnh trên CMC page coin","Giữ logic thắng nhưng thay topic theo từng site"
"KPI tháng 5","KPI vận hành","Bảng trạng thái 100% site; tăng số site pipeline chạy thật; report tuần mẫu; log lỗi tập trung","Kế hoạch","Bắt buộc","Đây là lớp KPI tối thiểu để chứng minh tiến độ thực","Site active / blocked / ready; số job thành công; số bài publish"
"KPI tháng 5","KPI vận hành bổ sung","Verify xong 3 site đã xử lý trước về backlog URL chưa index; rollout tiếp sang site còn lại; tối thiểu 3 site có case news -> evergreen; tối thiểu 6 site update UI/UX + trending","Kế hoạch","Bắt buộc","Đây là lớp đo closure thực tế của tháng 5","3 site đã xử lý trước: Coinlineup, Tokentopnews, TheCCPress"
"KPI tháng 5","KPI kết quả","Indexation / GSC / crawl health / traffic chỉ ghi khi có dữ liệu","Kế hoạch","Không overclaim","Chỉ báo cáo khi nguồn dữ liệu đủ chắc; riêng Coincu đang là mẫu tham chiếu tốt cho format bài index mạnh","Không nên hứa quá mạnh Semrush toàn hệ trong tháng 5"
"Kế hoạch tháng 6","Điều kiện build hubpage","Site có trên 30 bài cluster evergreen sẽ chuyển sang dựng hubpage","Kế hoạch","Ngưỡng kích hoạt","Hubpage là bước sau khi có đủ cluster content, không làm quá sớm","Tháng 5 cần chuẩn bị backlog và theo dõi số bài cluster theo site"
"Quyết định quản lý","Decision gate","Nếu không đạt backlog indexation closure, 3 evergreen/site và 6 site ready cho sale thì không nâng scope tháng 6","Mở","Cuối tháng 5","Giữ kỷ luật ưu tiên closure thay vì mở thêm nhánh mới","Quyết định này giúp bảo toàn lực cho rollout thực"
"Rủi ro / hỗ trợ","Hỗ trợ cần từ quản lý","Chốt danh sách site ưu tiên, giữ scope core system, xác nhận nguồn dữ liệu KPI","Mở","-","Nếu không khóa scope, tháng 5 dễ bị loãng như tháng 4","Cần quyết định quản lý để ưu tiên closure hơn mở nhánh mới"
